# timestamp x y z roll pitch yaw
1577858776438041 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000
1577858776448356 0.014603 -0.000621 -0.000002 -0.000001 -0.000002 -0.000192
1577858776458626 0.067120 0.004374 -0.000076 -0.000001 -0.000194 -0.000381
1577858776469323 0.081723 0.003753 -0.000078 -0.000002 -0.000196 -0.000573
1577858776480244 0.140134 0.001277 0.000915 -0.000002 -0.000390 -0.000763
1577858776490988 0.154736 0.000656 0.000913 -0.000003 -0.000392 -0.000955
1577858776501190 0.198543 -0.001218 -0.000092 -0.000004 -0.000396 -0.001338
1577858776512672 0.247987 0.025600 -0.000371 -0.000005 -0.000400 -0.001721
1577858776522272 0.294869 0.001924 0.000828 -0.000005 -0.000591 -0.001718
1577858776532811 0.294869 0.001924 0.000828 -0.000006 -0.000596 -0.002102
1577858776545459 0.353279 -0.000562 0.000821 -0.000006 -0.000596 -0.002102
1577858776555646 0.411690 -0.003047 0.000814 -0.000007 -0.000600 -0.002485
1577858776566190 0.420400 0.003813 0.000744 -0.000008 -0.000602 -0.002677
1577858776577056 0.478810 0.001327 0.000737 0.000182 -0.000413 -0.002872
1577858776587427 0.493413 0.000706 0.000735 0.000181 -0.000416 -0.003063
1577858776597816 0.545931 0.005711 0.001661 -0.000009 -0.000418 -0.003254
1577858776608912 0.560534 0.005090 0.001660 -0.000010 -0.000420 -0.003446
1577858776619623 0.610233 -0.004255 0.001721 -0.000010 -0.000231 -0.003641
1577858776630820 0.633546 0.001983 0.001651 -0.000011 -0.000233 -0.003833
1577858776641468 0.677354 0.000119 0.001645 -0.000012 -0.000047 -0.004218
1577858776653037 0.750367 -0.002987 0.001636 -0.000013 -0.000052 -0.004602
1577858776663446 0.764970 -0.003599 0.002634 -0.000014 -0.000054 -0.004793
1577858776673966 0.817488 0.001396 0.002559 -0.000015 -0.000058 -0.005177
1577858776685854 0.832090 0.000775 0.002557 -0.000015 -0.000058 -0.005177
1577858776697289 0.875898 -0.001089 0.002552 -0.000016 -0.000253 -0.005557
1577858776707716 0.899211 0.005149 0.002481 -0.000016 -0.000255 -0.005749
1577858776718648 0.948910 -0.004196 0.002543 -0.000017 -0.000259 -0.006133
1577858776728835 0.963513 -0.004817 0.002541 -0.000017 -0.000259 -0.006133
1577858776739475 1.016031 0.000179 0.002467 -0.000018 -0.000454 -0.006514
1577858776750465 1.030633 -0.000443 0.002465 -0.000019 -0.000457 -0.006706
1577858776760952 1.089043 -0.002928 0.002458 0.000170 -0.000461 -0.007089
1577858776771344 1.103646 -0.003549 0.002456 0.000169 -0.000463 -0.007281
1577858776782616 1.147454 -0.005413 0.002451 0.000168 -0.000658 -0.007663
1577858776792722 1.214574 -0.001039 0.002374 0.000167 -0.000854 -0.008044
1577858776803216 1.235069 -0.009141 0.002440 0.000167 -0.000856 -0.008236
1577858776813838 1.287587 -0.004146 0.002365 0.000357 -0.000860 -0.008619
1577858776825423 1.302189 -0.004767 0.002363 0.000356 -0.000862 -0.008811
1577858776836129 1.354707 0.000229 0.002289 0.000164 -0.000867 -0.009195
1577858776846978 1.369310 -0.000392 0.002287 0.000164 -0.000869 -0.009386
1577858776857633 1.419010 -0.009728 0.003349 0.000163 -0.000873 -0.009770
1577858776868493 1.433613 -0.010349 0.003348 0.000162 -0.000875 -0.009962
1577858776878883 1.486131 -0.005354 0.003273 0.000161 -0.000880 -0.010344
1577858776889221 1.500733 -0.005975 0.003271 0.000161 -0.000880 -0.010344
1577858776900674 1.544541 -0.007839 0.003266 0.000159 -0.000886 -0.010920
1577858776911409 1.559143 -0.008460 0.003264 0.000159 -0.000886 -0.010920
1577858776921940 1.617553 -0.010946 0.003257 0.000158 -0.001083 -0.011493
1577858776932337 1.632156 -0.011567 0.003255 0.000158 -0.001083 -0.011493
1577858776942837 1.684674 -0.006562 0.004180 0.000156 -0.001089 -0.012068
1577858776952846 1.743084 -0.009047 0.004173 0.000155 -0.001093 -0.012451
1577858776964048 1.757687 -0.009669 0.004171 0.000155 -0.001096 -0.012643
